Data,Impressões (orgânicas),Impressões (patrocinadas),Impressões (total),Impressões únicas (orgânicas),Cliques (orgânicos),Cliques (patrocinados),Cliques (total),Reações (orgânicas),Reações (patrocinadas),Reações (total),Comentários (orgânicos),Comentários (patrocinados),Comentários (total),Compartilhamentos (orgânicos),Compartilhamentos (patrocinados),Compartilhamentos (total),Taxa de engajamento (orgânico),Taxa de engajamento (patrocinado),Taxa de engajamento (total)
10/29/2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10/30/2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10/31/2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11/01/2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11/02/2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11/03/2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11/04/2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11/05/2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11/06/2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11/07/2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11/08/2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11/09/2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11/10/2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11/11/2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11/12/2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11/13/2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11/14/2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11/15/2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11/16/2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11/17/2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11/18/2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11/19/2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11/20/2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11/21/2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11/22/2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11/23/2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11/24/2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11/25/2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11/26/2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11/27/2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
